ds_name,approach,jobs_count,partitions,rt,tot_words_unique,top_words,description
100,Single-Pass MapReduce,1,2,0.878593921661377,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('not', 54), ('all', 54), ('their', 53), ('but', 53), ('one', 53), ('which', 53), ('also', 51), ('can', 48), ('you', 47), ('time', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('new', 43), ('out', 43), ('over', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,2,0.1503739356994629,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('but', 53), ('their', 53), ('one', 53), ('which', 53), ('also', 51), ('can', 48), ('you', 47), ('time', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('new', 43), ('over', 43), ('out', 43)]","Three jobs, maximum clarity, most overhead"
100,Single-Pass MapReduce,1,4,0.11763501167297363,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('their', 53), ('one', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('new', 43), ('first', 43), ('out', 43), ('over', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,4,0.143035888671875,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('their', 53), ('one', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('new', 43), ('first', 43), ('out', 43), ('over', 43)]","Three jobs, maximum clarity, most overhead"
100,Single-Pass MapReduce,1,8,0.13859891891479492,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('one', 53), ('their', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('over', 43), ('new', 43), ('out', 43)]","Memory efficient, single job, early deduplication"
100,Three-Stage MapReduce,3,8,0.17447113990783691,8517,"[('the', 97), ('and', 93), ('for', 87), ('with', 81), ('that', 78), ('this', 76), ('from', 74), ('have', 70), ('are', 69), ('will', 67), ('was', 65), ('has', 61), ('all', 54), ('not', 54), ('one', 53), ('their', 53), ('but', 53), ('which', 53), ('also', 51), ('can', 48), ('time', 47), ('you', 47), ('they', 46), ('there', 45), ('more', 44), ('other', 44), ('first', 43), ('over', 43), ('new', 43), ('out', 43)]","Three jobs, maximum clarity, most overhead"
1000,Single-Pass MapReduce,1,2,0.23732876777648926,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Memory efficient, single job, early deduplication"
1000,Three-Stage MapReduce,3,2,0.23868799209594727,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Three jobs, maximum clarity, most overhead"
1000,Single-Pass MapReduce,1,4,0.12393593788146973,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Memory efficient, single job, early deduplication"
1000,Three-Stage MapReduce,3,4,0.19179010391235352,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('been', 391)]","Three jobs, maximum clarity, most overhead"
1000,Single-Pass MapReduce,1,8,0.13033390045166016,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('time', 391)]","Memory efficient, single job, early deduplication"
1000,Three-Stage MapReduce,3,8,0.19195103645324707,29464,"[('the', 972), ('and', 951), ('for', 868), ('with', 826), ('that', 756), ('from', 688), ('this', 685), ('are', 631), ('has', 626), ('have', 619), ('was', 582), ('will', 571), ('their', 532), ('also', 501), ('all', 492), ('but', 483), ('not', 482), ('can', 481), ('one', 475), ('more', 471), ('which', 470), ('they', 449), ('you', 428), ('about', 418), ('who', 409), ('other', 404), ('after', 402), ('out', 400), ('said', 392), ('been', 391)]","Three jobs, maximum clarity, most overhead"
5000,Single-Pass MapReduce,1,2,0.8654100894927979,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Memory efficient, single job, early deduplication"
5000,Three-Stage MapReduce,3,2,0.7806878089904785,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Three jobs, maximum clarity, most overhead"
5000,Single-Pass MapReduce,1,4,0.36109209060668945,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Memory efficient, single job, early deduplication"
5000,Three-Stage MapReduce,3,4,0.5438170433044434,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Three jobs, maximum clarity, most overhead"
5000,Single-Pass MapReduce,1,8,0.19556307792663574,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Memory efficient, single job, early deduplication"
5000,Three-Stage MapReduce,3,8,0.32294416427612305,66628,"[('the', 4872), ('and', 4758), ('for', 4407), ('with', 4112), ('that', 3892), ('this', 3480), ('from', 3477), ('are', 3214), ('has', 3193), ('have', 3135), ('was', 2938), ('will', 2802), ('their', 2619), ('also', 2592), ('more', 2467), ('not', 2426), ('one', 2422), ('but', 2395), ('which', 2386), ('all', 2377), ('can', 2348), ('they', 2296), ('about', 2108), ('new', 2099), ('been', 2065), ('you', 2063), ('other', 2059), ('after', 2052), ('who', 2041), ('its', 2020)]","Three jobs, maximum clarity, most overhead"
9653,Single-Pass MapReduce,1,2,1.2332308292388916,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Memory efficient, single job, early deduplication"
9653,Three-Stage MapReduce,3,2,1.2998440265655518,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Three jobs, maximum clarity, most overhead"
9653,Single-Pass MapReduce,1,4,0.5108957290649414,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Memory efficient, single job, early deduplication"
9653,Three-Stage MapReduce,3,4,0.8158371448516846,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Three jobs, maximum clarity, most overhead"
9653,Single-Pass MapReduce,1,8,0.37223386764526367,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Memory efficient, single job, early deduplication"
9653,Three-Stage MapReduce,3,8,0.5959079265594482,95003,"[('the', 9423), ('and', 9155), ('for', 8505), ('with', 7977), ('that', 7538), ('from', 6778), ('this', 6687), ('has', 6227), ('are', 6132), ('have', 6103), ('was', 5645), ('will', 5439), ('their', 5081), ('also', 5061), ('more', 4724), ('not', 4687), ('one', 4683), ('which', 4636), ('but', 4632), ('can', 4560), ('all', 4531), ('they', 4365), ('new', 4120), ('about', 4065), ('been', 4058), ('after', 4042), ('who', 3990), ('other', 3984), ('you', 3957), ('its', 3924)]","Three jobs, maximum clarity, most overhead"
